OptionType,DeltaBucket,TimeBucket,OptionFrequency,Count,MeanElasticity,MedianElasticity,StdElasticity,MinElasticity,MaxElasticity,Q25Elasticity,Q75Elasticity,CoeffVariation
CALL,0.20-0.30,61-90 days,monthly,13270,26.26347044500292,26.08216035261269,1.6681519457011242,23.15753286511151,30.187980699900347,24.88394870303507,27.457591886121083,0.06351605166553756
CALL,0.20-0.30,8-14 days,monthly,2756,67.84700337023607,67.03758988988125,7.120580701014886,54.15440180276023,82.1144127460613,61.29057531983937,75.27269053568956,0.10495055562230811
CALL,0.20-0.30,90+ days,monthly,1189,12.609340881867622,12.582460621723815,0.0842943017704422,12.158177776450865,12.797362425767458,12.54961108267433,12.680192513015845,0.006685068042823585
CALL,0.30-0.40,0-7 days,monthly,1498,127.43148183685223,109.10430920875518,53.15865063757285,69.19141496984405,203.46803515582013,72.26930915420044,193.88933907895427,0.41715477110774496
CALL,0.30-0.40,15-30 days,monthly,3931,40.13720774587686,38.760391033795926,4.199367749813198,33.84172463421322,51.66906969806538,37.45717007825391,42.167735753364155,0.10462530867620165
CALL,0.30-0.40,31-60 days,monthly,19203,29.624045696170217,29.13285872800346,2.9108860617253334,24.477939665296336,37.29587043334959,27.338731512926003,31.58220205405094,0.09826092261603726
CALL,0.30-0.40,61-90 days,monthly,12338,23.597097506683095,23.30960885996135,1.5416127475813133,20.662600542699188,26.641783294046736,22.266913411824238,24.86607960749544,0.06533060886597186
CALL,0.30-0.40,8-14 days,monthly,2536,59.90638847354793,59.313038171362464,5.76199568929699,48.26417635251437,72.2200761181539,54.43602660979988,65.52123823720378,0.0961833259543135
CALL,0.40-0.50,0-7 days,monthly,869,91.67828230044196,89.98372774741716,23.336940594092873,61.82830931132624,181.36436670189022,82.43120043845572,97.12236382038262,0.2545525505987842
CALL,0.40-0.50,15-30 days,monthly,3415,35.634805634903344,34.98396900922426,3.6527274862044163,30.327476940566996,46.04804757370769,32.96031781873576,37.08428369088641,0.10250448742806294
CALL,0.40-0.50,31-60 days,monthly,17495,26.409139069875177,25.859463055827213,2.592492140380399,21.95395628907649,33.44148442942538,24.362882629132617,28.25948252932675,0.09816647689729677
CALL,0.40-0.50,61-90 days,monthly,8369,20.87126451340329,20.84649337516857,1.291989864338722,18.51022755698212,23.615024042923775,19.911315636931644,21.916020539709162,0.06190280725487527
CALL,0.40-0.50,8-14 days,monthly,1986,53.0836675848888,52.94950643381473,4.614864556489949,43.17412597301817,64.33073196633288,48.05262101464275,56.99883800660186,0.08693567657340337
CALL,0.50-0.60,0-7 days,monthly,1687,52.76014243379337,58.54063520656123,34.00861217662141,14.740076899775415,161.6149459902623,14.792929106970982,73.63103010487575,0.6445890895631581
CALL,0.50-0.60,15-30 days,monthly,3203,31.99031290344412,31.607243113465962,3.241128858536947,27.08262733922298,41.21875701804591,29.566760146840856,32.39052758033484,0.10131594737193092
CALL,0.50-0.60,31-60 days,monthly,18717,23.55328943879493,23.138564322993084,2.273876547883385,19.624761198769875,29.937798663077817,21.750503353443357,25.230965570345926,0.09654178257318288
CALL,0.50-0.60,61-90 days,monthly,7632,18.66760050521248,18.382621612540433,1.1653296960129824,16.55602420244266,21.152428485815715,17.91400670052599,19.569437573781556,0.062425253619906425
CALL,0.50-0.60,8-14 days,monthly,2179,47.51878385370722,47.42849342700004,4.370068050130381,39.07898142733758,57.636802057685074,43.07660602956919,49.89837014869783,0.09196506509055884
